series_id,label,title,units,frequency,date,value,retrieved
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1984-01-01,112.048,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1984-04-01,119.213,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1984-07-01,124.152,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1984-10-01,130.744,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1985-01-01,128.852,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1985-04-01,131.394,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1985-07-01,128.682,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1985-10-01,132.468,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1986-01-01,132.999,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1986-04-01,136.466,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1986-07-01,136.286,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1986-10-01,141.297,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1987-01-01,137.624,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1987-04-01,138.95,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1987-07-01,143.608,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1987-10-01,144.567,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1988-01-01,148.426,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1988-04-01,153.476,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1988-07-01,155.832,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1988-10-01,158.615,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1989-01-01,163.75,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1989-04-01,170.56,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1989-07-01,174.995,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1989-10-01,175.946,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1990-01-01,176.747,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1990-04-01,174.741,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1990-07-01,172.364,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1990-10-01,176.042,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1991-01-01,173.727,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1991-04-01,176.392,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1991-07-01,179.165,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1991-10-01,182.361,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1992-01-01,183.803,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1992-04-01,190.503,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1992-07-01,198.638,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1992-10-01,199.54,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1993-01-01,204.251,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1993-04-01,206.392,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1993-07-01,215.012,2026-05-15
