series_id,label,title,units,date,value,retrieved
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-10-01,1160831.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-11-01,1172090.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-12-01,1184677.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-01-01,1195642.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-02-01,1205639.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-03-01,1205169.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-04-01,1193296.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-05-01,1180581.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-06-01,1172128.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-07-01,1157926.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-08-01,1145907.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-09-01,1135753.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-10-01,1122914.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-11-01,1121749.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2006-12-01,1135406.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-01-01,1137917.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-02-01,1139032.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-03-01,1146624.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-04-01,1150590.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-05-01,1161581.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-06-01,1163511.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-07-01,1155448.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-08-01,1159077.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-09-01,1158580.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-10-01,1152491.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-11-01,1132908.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2007-12-01,1115141.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-01-01,1111347.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-02-01,1096648.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-03-01,1103446.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-04-01,1101252.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-05-01,1101547.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-06-01,1090098.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-07-01,1086952.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-08-01,1070075.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-09-01,1059579.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-10-01,1055959.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-11-01,1035033.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2008-12-01,999139.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-01-01,975099.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-02-01,971708.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-03-01,963793.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-04-01,932482.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-05-01,920020.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-06-01,912530.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-07-01,911438.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-08-01,900112.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-09-01,887241.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-10-01,871391.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-11-01,858493.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2009-12-01,842609.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-01-01,822114.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-02-01,814885.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-03-01,821849.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-04-01,829664.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-05-01,823447.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-06-01,821943.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-07-01,799694.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-08-01,802030.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-09-01,807728.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-10-01,801372.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-11-01,804151.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2010-12-01,789395.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2011-01-01,759964.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2011-02-01,758376.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2011-03-01,769157.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2011-04-01,769437.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2011-05-01,775251.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2011-06-01,794839.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2011-07-01,792381.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2011-08-01,811953.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2011-09-01,813660.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2011-10-01,808378.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2011-11-01,812050.0,2026-05-15
